2025-01-14 10:42:40,567 - INFO - Starting asteroids!
Screen width: 1920
Screen height: 1080
2025-01-14 10:42:41,429 - DEBUG - Total Time: 0.0013s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0013s
2025-01-14 10:42:41,446 - DEBUG - Total Time: 0.0171s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:41,462 - DEBUG - Total Time: 0.0157s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:41,478 - DEBUG - Total Time: 0.0160s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:41,494 - DEBUG - Total Time: 0.0163s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:41,510 - DEBUG - Total Time: 0.0160s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:41,527 - DEBUG - Total Time: 0.0165s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:41,543 - DEBUG - Total Time: 0.0164s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:41,560 - DEBUG - Total Time: 0.0165s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0005s
2025-01-14 10:42:41,577 - DEBUG - Total Time: 0.0155s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:41,592 - DEBUG - Total Time: 0.0153s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:41,608 - DEBUG - Total Time: 0.0144s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:41,625 - DEBUG - Total Time: 0.0173s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:41,643 - DEBUG - Total Time: 0.0166s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:41,659 - DEBUG - Total Time: 0.0167s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0015s
2025-01-14 10:42:41,675 - DEBUG - Total Time: 0.0155s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:41,690 - DEBUG - Asteroid spawned at (1725.2260454613775,1140.0) with radius 20
2025-01-14 10:42:41,692 - DEBUG - Total Time: 0.0173s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:41,707 - DEBUG - Asteroid at (1725.4208787167197,1138.8950457011204) is out of field
2025-01-14 10:42:41,707 - DEBUG - Killing asteroid...
2025-01-14 10:42:41,707 - DEBUG - Killed asteroid at (1725.4208787167197,1138.8950457011204)
2025-01-14 10:42:41,709 - DEBUG - Total Time: 0.0163s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0015s
2025-01-14 10:42:41,726 - DEBUG - Total Time: 0.0172s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0021s
2025-01-14 10:42:41,743 - DEBUG - Total Time: 0.0169s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:41,757 - DEBUG - Total Time: 0.0145s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:41,775 - DEBUG - Total Time: 0.0181s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:41,793 - DEBUG - Total Time: 0.0166s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:41,809 - DEBUG - Total Time: 0.0160s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:41,826 - DEBUG - Total Time: 0.0172s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:41,843 - DEBUG - Total Time: 0.0171s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:41,860 - DEBUG - Total Time: 0.0171s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0015s
2025-01-14 10:42:41,877 - DEBUG - Total Time: 0.0158s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:41,895 - DEBUG - Total Time: 0.0166s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:41,911 - DEBUG - Total Time: 0.0160s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:41,927 - DEBUG - Total Time: 0.0165s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:41,943 - DEBUG - Total Time: 0.0159s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:41,959 - DEBUG - Total Time: 0.0160s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:41,975 - DEBUG - Total Time: 0.0161s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:41,991 - DEBUG - Total Time: 0.0160s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,008 - DEBUG - Total Time: 0.0165s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,024 - DEBUG - Total Time: 0.0165s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,040 - DEBUG - Total Time: 0.0160s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,057 - DEBUG - Total Time: 0.0165s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,073 - DEBUG - Total Time: 0.0166s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,090 - DEBUG - Total Time: 0.0168s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,107 - DEBUG - Total Time: 0.0165s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,123 - DEBUG - Total Time: 0.0152s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,140 - DEBUG - Total Time: 0.0166s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0005s
2025-01-14 10:42:42,155 - DEBUG - Total Time: 0.0155s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,173 - DEBUG - Total Time: 0.0176s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:42,189 - DEBUG - Total Time: 0.0160s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,205 - DEBUG - Total Time: 0.0165s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,223 - DEBUG - Total Time: 0.0177s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:42,239 - DEBUG - Total Time: 0.0161s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,255 - DEBUG - Total Time: 0.0159s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,271 - DEBUG - Total Time: 0.0165s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,289 - DEBUG - Total Time: 0.0175s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:42,305 - DEBUG - Total Time: 0.0158s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,321 - DEBUG - Total Time: 0.0167s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,338 - DEBUG - Total Time: 0.0165s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,354 - DEBUG - Total Time: 0.0162s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,371 - DEBUG - Total Time: 0.0165s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,389 - DEBUG - Total Time: 0.0180s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,405 - DEBUG - Total Time: 0.0162s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,421 - DEBUG - Total Time: 0.0164s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,438 - DEBUG - Total Time: 0.0164s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,455 - DEBUG - Total Time: 0.0174s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:42,473 - DEBUG - Total Time: 0.0176s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0021s
2025-01-14 10:42:42,492 - DEBUG - Total Time: 0.0190s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0030s
